id,disturbanc,X_32636,Y_32636,mag,dur,shape,area,inter,disturbance_code
1,wind,291304.8749,5673297.606,271,1,1.15385,0.27,0.99844,4
4,wind,291401.9752,5673925.301,241,1,1.37405,1.71,0.99906,4
5,wind,291435.9453,5673870.739,246,1,1.37405,1.71,0.99851,4
7,wind,291423.3192,5674036.831,187,1,1.37405,1.71,0.99876,4
8,wind,291436.8471,5674007.37,227,1,1.37405,1.71,0.99991,4
9,wind,291723.9393,5673924.85,158,1,1.65829,0.99,0.99785,4
10,wind,291717.9269,5673975.505,208,1,1.65829,0.99,0.99811,4
11,wind,291800.2968,5673971.897,168,2,1.05882,0.18,0.99953,4
12,wind,291793.0819,5674094.851,182,1,1.23529,0.72,0.99993,4
14,wind,291433.8409,5674231.934,138,1,1.58824,0.72,0.99774,4
15,wind,291488.5538,5674187.442,225,1,1.58824,0.72,0.99923,4
16,wind,291426.0248,5674326.93,202,1,1.625,1.44,0.99775,4
18,wind,291559.8007,5674260.493,197,1,1.625,1.44,0.99405,4
20,wind,291264.4415,5674432.447,112,1,1.5,0.36,0.99853,4
23,wind,290689.0546,5674474.534,163,3,1.80905,0.99,0.99879,4
25,wind,290035.8071,5674163.993,286,1,1.50754,0.99,0.9987,4
26,wind,289967.8669,5674316.708,267,1,1.13208,0.63,0.999,4
27,wind,290109.7596,5674322.12,191,3,1.79724,1.17,0.99854,4
31,wind,290892.5744,5674965.146,264,2,2.88462,4.32,0.99994,4
32,wind,290262.7753,5675147.923,301,1,1.63265,2.16,0.99973,4
33,wind,290164.7731,5675176.783,206,1,1.63265,2.16,0.99852,4
35,wind,290440.2163,5674845.574,404,2,3.12,3.51,0.9969,4
36,wind,290335.6005,5674896.68,317,1,3.12,3.51,0.9635,4
37,wind,290312.4527,5674826.335,232,1,2.23881,2.79,0.98168,4
38,wind,290225.8741,5674837.458,260,1,2.23881,2.79,0.99494,4
39,wind,290231.5859,5674780.941,490,3,2.23881,2.79,0.99919,4
40,wind,289792.3799,5675469.662,224,3,1.15385,0.27,0.99945,4
42,wind,290087.8895,5675450.422,152,1,1.83673,0.54,0.9997,4
43,wind,289876.5536,5675574.879,256,2,1.05882,0.18,0.99933,4
44,wind,289686.712,5675827.4,156,1,1.15385,0.27,0.99924,4
45,wind,289720.3814,5675920.592,195,1,1.05882,0.18,0.99975,4
46,wind,289727.5963,5675964.182,183,1,1.05882,0.18,0.99948,4
48,wind,289906.4653,5675909.168,140,1,1.44231,0.27,0.99878,4
50,wind,289602.0874,5676153.723,249,1,1.41176,0.18,0.99919,4
51,wind,289666.7207,5676146.207,597,3,1.67382,1.35,0.99927,4
52,wind,289713.6175,5676119.753,240,1,1.67382,1.35,0.99853,4
53,wind,289737.3665,5676075.862,574,3,1.67382,1.35,0.99914,4
55,wind,288881.9519,5675263.737,171,1,1.375,1.44,0.99994,4
57,wind,289068.3364,5675335.585,230,1,1.25,1.44,0.99935,4
58,wind,288825.736,5675312.137,220,1,1.375,1.44,0.99926,4
59,wind,288747.5747,5675416.452,275,1,1.50943,0.63,0.9992,4
61,wind,288681.7389,5675182.87,242,1,1.33333,0.45,0.99947,4
66,wind,288428.6168,5676467.119,290,1,1.33333,0.45,0.99968,4
69,wind,287950.4805,5676012.281,197,1,1.50754,0.99,0.99986,4
70,wind,288006.6965,5675976.808,240,1,1.50754,0.99,0.99934,4
72,wind,287793.5568,5675883.916,290,1,1.83333,0.81,0.99886,4
73,wind,287827.5269,5675956.666,207,1,1.83333,0.81,0.99972,4
75,wind,285668.1726,5675131.464,119,2,1.41176,0.18,0.99857,4
77,wind,288808.3,5673528.558,210,3,1.57895,0.9,0.99905,4
78,wind,288774.5554,5673426.873,151,2,1,0.09,0.9992,4
79,wind,289038.0489,5673356.753,199,1,1.16667,0.81,0.99923,4
80,wind,289084.3444,5673333.906,138,3,1.16667,0.81,0.99878,4
82,wind,289098.4736,5673160.448,252,1,1,0.36,0.99981,4
83,wind,288687.5259,5673148.123,410,3,1.77778,0.45,0.999,4
85,wind,288692.3358,5673058.538,153,1,1.15385,0.27,0.99849,4
86,wind,288662.2738,5672991.801,230,1,1.15385,0.27,0.99897,4
87,wind,288920.8071,5672946.707,265,1,2.01923,1.08,0.99944,4
88,wind,288945.4579,5672902.817,371,2,2.01923,1.08,0.99965,4
89,wind,289003.177,5672877.865,193,3,1.15385,0.27,0.99905,4
90,wind,289071.1171,5672859.828,268,1,1.22449,0.54,0.9996,4
95,wind,294466.7221,5676424.281,191,2,1,0.09,0.99866,4
96,wind,294286.8009,5676711.073,116,1,2.45283,2.52,0.99964,4
98,wind,294447.3321,5676766.988,178,1,2.45283,2.52,0.99859,4
99,wind,287650.161,5675654.994,349,1,2.00445,5.04,0.99989,4
100,wind,287615.2891,5675513.101,324,1,2.00445,5.04,0.99925,4
101,wind,287701.8677,5675487.849,276,1,2.00445,5.04,0.99846,4
102,wind,288031.3473,5675587.655,363,1,3.97277,16.29,0.99887,4
103,wind,288160.0127,5675618.92,347,1,3.97277,16.29,0.99969,4
104,wind,288508.7321,5675634.552,366,1,3.97277,16.29,0.99866,4
105,wind,288406.5212,5675495.064,240,1,3.97277,16.29,0.9995,4
106,wind,288543.604,5675422.915,351,1,3.97277,16.29,0.9991,4
107,wind,288372.8518,5675302.667,370,1,3.97277,16.29,0.99969,4
108,wind,288437.7857,5675275.611,293,2,1.2,1.26,0.99943,4
109,wind,288547.8127,5675338.14,260,1,1.63265,0.54,0.99896,4
110,wind,288127.5458,5675463.198,297,1,3.97277,16.29,0.99907,4
111,wind,288495.5048,5675537.151,249,1,3.97277,16.29,0.99997,4
112,cut,284897.9839,5691132.646,419,1,3.25714,12.24,0.0617,2
113,cut,285208.2238,5691103.787,807,1,3.25714,12.24,0.06632,2
114,cut,285467.9596,5691142.266,794,1,3.25714,12.24,0.06881,2
115,cut,285092.7857,5691652.118,362,3,2.11538,2.43,0.05962,2
116,cut,285669.9763,5691644.903,374,1,2.1875,2.07,0.06506,2
117,cut,285903.2575,5691632.878,509,1,2.1875,2.07,0.06615,2
119,cut,286686.0723,5691769.961,816,2,6.94685,147.24001,0.06499,2
120,cut,286695.6922,5691974.382,646,1,6.94685,147.24001,0.06253,2
121,cut,286734.1715,5692195.639,670,2,6.94685,147.24001,0.05993,2
122,cut,287323.387,5692450.565,539,1,1.95804,4.59,0.05256,2
123,cut,287434.0152,5692294.242,604,1,2.11111,7.29,0.05277,2
126,cut,305865.6355,5668495.952,434,1,4.34828,22.95,0.00175,2
127,cut,306195.1151,5668471.902,472,1,4.34828,22.95,0.02486,2
128,cut,306971.9175,5668457.472,353,1,4.34828,22.95,0.03697,2
129,cut,307645.3066,5668452.662,347,1,4.34828,22.95,0.03943,2
130,cut,308087.8194,5668450.257,316,1,4.34828,22.95,0.04256,2
131,cut,308530.3322,5668423.803,341,1,4.34828,22.95,0.04516,2
132,cut,303754.0798,5666342.309,415,1,2.65734,4.59,0.07765,2
133,cut,303835.8485,5666647.739,267,1,1.54506,1.35,0.07168,2
135,cut,304463.5433,5666748.747,569,1,2.58427,7.11,0.02728,2
137,cut,305387.0483,5666486.607,397,1,2.12963,2.61,0.05086,2
138,cut,305795.8916,5666284.59,433,1,2.3662,3.15,0.0416,2
139,cut,306339.4128,5666181.177,429,1,1.67476,4.23,0.014,2
140,cut,306615.9833,5666118.648,440,1,1.67476,4.23,0.02107,2
141,cut,307400.0005,5665826.445,241,2,1,0.09,0.00493,2
142,cut,308357.175,5665842.077,470,1,2.98643,10.98,0.02006,2
143,cut,309247.0105,5666125.863,448,1,2.98643,10.98,0.04465,2
144,cut,310011.7881,5666630.904,615,3,2.55319,1.98,0.04542,2
145,cut,310704.4168,5666727.103,558,1,1.79221,3.69,0.04012,2
146,cut,311069.9709,5666582.805,339,1,1.85294,2.88,0.03667,2
147,cut,311906.8973,5666265.35,441,1,2.28947,3.6,0.03392,2
148,cut,312243.5918,5665370.705,420,1,1.47059,2.34,0.03526,2
149,cut,312681.2947,5664423.15,453,1,2.47289,5.31,0.03573,2
150,cut,312979.5098,5666217.251,264,1,1.76471,2.88,0.03171,2
151,cut,313970.3537,5666212.441,360,1,2.80899,7.11,0.03054,2
152,cut,297926.8596,5690835.633,435,1,3.76794,17.46,0.03368,2
153,cut,297893.1901,5690638.427,458,1,3.76794,17.46,0.03327,2
154,cut,297821.0413,5690349.831,463,1,3.76794,17.46,0.03491,2
155,cut,297758.5123,5690094.905,420,1,3.76794,17.46,0.04022,2
156,cut,297695.9833,5689748.591,428,1,3.76794,17.46,0.04797,2
157,cut,297628.6444,5689440.756,341,1,3.76794,17.46,0.05395,2
158,cut,297546.8757,5689128.111,371,1,3.76794,17.46,0.05817,2
159,cut,297498.7765,5688858.756,403,1,3.76794,17.46,0.06046,2
160,cut,286853.2171,5694597.593,558,2,6.94685,147.24001,0.0381,2
161,cut,286862.8369,5694833.28,488,1,6.94685,147.24001,0.03804,2
162,cut,286867.6469,5695040.106,1134,2,1.8543,5.13,0.03771,2
163,cut,286886.8866,5695179.594,712,2,1.8543,5.13,0.03738,2
164,cut,286910.9362,5695477.809,748,2,1.8543,5.13,0.03651,2
165,cut,286910.9362,5695761.595,739,1,1.64706,1.62,0.03556,2
166,cut,286910.9362,5696107.909,525,1,1.29808,1.08,0.03416,2
167,cut,286944.6056,5696502.322,553,1,2.76639,5.94,0.03217,2
168,cut,286939.7957,5696723.579,506,1,2.76639,5.94,0.03105,2
169,cut,286954.2255,5696915.976,401,1,2.76639,5.94,0.02974,2
170,cut,286963.8453,5697194.951,306,1,2.76639,5.94,0.0288,2
171,cut,286790.6881,5697368.108,546,1,1.63462,2.43,0.0292,2
172,cut,287137.0025,5697401.778,467,1,2.0597,2.79,0.02688,2
173,cut,288589.5989,5695203.644,396,1,2.64901,5.13,0.0268,2
173,cut,289003.2521,5695290.222,507,1,2.64901,5.13,0.02838,2
174,cut,289267.7978,5695448.95,420,1,2.2,2.25,0.02773,2
175,cut,289537.1535,5695718.305,457,1,3.1875,5.76,0.02431,2
176,cut,290162.4433,5696069.43,297,2,1.5,0.36,0.00319,2
177,cut,290691.5347,5696324.355,427,1,2.77635,3.78,0.01006,2
177,cut,291725.6679,5696935.215,441,1,3.03371,4.95,0.02262,2
178,cut,284835.4549,5692578.629,323,1,3.95693,13.77,0.05002,2
179,cut,285112.0254,5692566.604,273,1,3.95693,13.77,0.05177,2
180,cut,285688.0135,5692544.959,358,1,3.95693,13.77,0.05423,2
181,cut,286310.8984,5692520.91,555,2,3.95693,13.77,0.05613,2
181,bio,314882.5103,5665388.066,253,2,1.05882,0.18,0.02488,1
